# Spherical Bessel functions via up and down recursion
# x    d_rec    u_rec    gsl    relerr_ud   relerr_dg
15.300000 -1.47203507e-02 -1.47203507e-02 -1.47203507e-02  8.83839411e-16  6.48148901e-16
15.400000 -1.99996322e-02 -1.99996322e-02 -1.99996322e-02  5.20426613e-16  6.07164381e-16
15.500000 -2.51042486e-02 -2.51042486e-02 -2.51042486e-02  2.07302377e-16  3.45503962e-16
15.600000 -3.00082055e-02 -3.00082055e-02 -3.00082055e-02  3.00603182e-15  1.73424913e-16
15.700000 -3.46863251e-02 -3.46863251e-02 -3.46863251e-02  1.92045082e-14  4.00093920e-16
15.800000 -3.91144198e-02 -3.91144198e-02 -3.91144198e-02  1.33049920e-15  1.77399893e-16
15.900000 -4.32694614e-02 -4.32694614e-02 -4.32694614e-02  3.20729386e-16  4.00911733e-16
16.000000 -4.71297468e-02 -4.71297468e-02 -4.71297468e-02  7.36148014e-16  7.36148014e-17
16.100000 -5.06750562e-02 -5.06750562e-02 -5.06750562e-02  6.16181311e-16  0.00000000e+00
16.200000 -5.38868053e-02 -5.38868053e-02 -5.38868053e-02  5.15071834e-16  6.43839792e-16
16.300000 -5.67481875e-02 -5.67481875e-02 -5.67481875e-02  1.83412745e-16  6.11375817e-17
16.400000 -5.92443077e-02 -5.92443077e-02 -5.92443077e-02  3.51370157e-16  5.85616929e-17
16.500000 -6.13623036e-02 -6.13623036e-02 -6.13623036e-02  0.00000000e+00  1.13080727e-16
16.600000 -6.30914564e-02 -6.30914564e-02 -6.30914564e-02  1.09981514e-16  1.09981514e-16
16.700000 -6.44232868e-02 -6.44232868e-02 -6.44232868e-02  1.07707853e-16  0.00000000e+00
16.800000 -6.53516387e-02 -6.53516387e-02 -6.53516387e-02  0.00000000e+00  2.12355621e-16
16.900000 -6.58727461e-02 -6.58727461e-02 -6.58727461e-02  0.00000000e+00  1.05337857e-16
17.000000 -6.59852858e-02 -6.59852858e-02 -6.59852858e-02  1.05158200e-16  1.05158200e-16
17.100000 -6.56904134e-02 -6.56904134e-02 -6.56904134e-02  1.05630237e-16  1.05630237e-16
17.200000 -6.49917817e-02 -6.49917817e-02 -6.49917817e-02  0.00000000e+00  0.00000000e+00
17.300000 -6.38955431e-02 -6.38955431e-02 -6.38955431e-02  1.08597463e-16  0.00000000e+00
17.400000 -6.24103337e-02 -6.24103337e-02 -6.24103337e-02  0.00000000e+00  1.11181811e-16
17.500000 -6.05472394e-02 -6.05472394e-02 -6.05472394e-02  5.73014887e-17  5.73014887e-17
17.600000 -5.83197457e-02 -5.83197457e-02 -5.83197457e-02  1.18980181e-16  1.18980181e-16
17.700000 -5.57436682e-02 -5.57436682e-02 -5.57436682e-02  0.00000000e+00  0.00000000e+00
17.800000 -5.28370674e-02 -5.28370674e-02 -5.28370674e-02  1.31326250e-16  1.31326250e-16
17.900000 -4.96201450e-02 -4.96201450e-02 -4.96201450e-02  1.39840259e-16  6.99201293e-17
18.000000 -4.61151255e-02 -4.61151255e-02 -4.61151255e-02  7.52344683e-17  7.52344683e-17
18.100000 -4.23461211e-02 -4.23461211e-02 -4.23461211e-02  0.00000000e+00  2.45792072e-16
18.200000 -3.83389815e-02 -3.83389815e-02 -3.83389815e-02  9.04939782e-17  2.71481935e-16
18.300000 -3.41211306e-02 -3.41211306e-02 -3.41211306e-02  0.00000000e+00  7.11762131e-16
18.400000 -2.97213901e-02 -2.97213901e-02 -2.97213901e-02  0.00000000e+00  1.16732325e-15
18.500000 -2.51697903e-02 -2.51697903e-02 -2.51697903e-02  0.00000000e+00  1.03381283e-15
18.600000 -2.04973722e-02 -2.04973722e-02 -2.04973722e-02  8.46315061e-17  5.07789036e-16
18.700000 -1.57359790e-02 -1.57359790e-02 -1.57359790e-02  2.20478622e-16  4.40957243e-16
18.800000 -1.09180408e-02 -1.09180408e-02 -1.09180408e-02  5.56100885e-16  6.35543868e-16
18.900000 -6.07635313e-03 -6.07635313e-03 -6.07635313e-03  1.64155370e-15  9.27834702e-16
19.000000 -1.24385035e-03 -1.24385035e-03 -1.24385035e-03  2.10939303e-14  6.62454008e-15
19.100000  3.54662280e-03  3.54662280e-03  3.54662280e-03  3.72953856e-15  1.46735943e-15
19.200000  8.26254150e-03  8.26254150e-03  8.26254150e-03  1.04975175e-15  9.44776573e-16
19.300000  1.28719302e-02  1.28719302e-02  1.28719302e-02  4.71687777e-16  9.43375555e-16
19.400000  1.73435900e-02  1.73435900e-02  1.73435900e-02  0.00000000e+00  9.00189137e-16
19.500000  2.16473211e-02  2.16473211e-02  2.16473211e-02  8.01357115e-17  5.60949981e-16
19.600000  2.57541406e-02  2.57541406e-02  2.57541406e-02  2.69428284e-16  1.41449849e-15
19.700000  2.96364919e-02  2.96364919e-02  2.96364919e-02  0.00000000e+00  1.17066722e-16
19.800000  3.32684453e-02  3.32684453e-02  3.32684453e-02  1.04286417e-16  2.08572834e-16
19.900000  3.66258873e-02  3.66258873e-02  3.66258873e-02  9.47266320e-17  9.47266320e-17
20.000000  3.96866986e-02  3.96866986e-02  3.96866986e-02  8.74209010e-17  8.74209010e-17
20.100000  4.24309172e-02  4.24309172e-02  4.24309172e-02  0.00000000e+00  0.00000000e+00
20.200000  4.48408867e-02  4.48408867e-02  4.48408867e-02  1.54744797e-16  7.73723984e-17
20.300000  4.69013889e-02  4.69013889e-02  4.69013889e-02  0.00000000e+00  1.47946448e-16
20.400000  4.85997577e-02  4.85997577e-02  4.85997577e-02  2.14164460e-16  1.42776307e-16
20.500000  4.99259752e-02  4.99259752e-02  4.99259752e-02  0.00000000e+00  6.94918215e-17
20.600000  5.08727482e-02  5.08727482e-02  5.08727482e-02  1.36397072e-16  2.04595608e-16
20.700000  5.14355648e-02  5.14355648e-02  5.14355648e-02  6.74522962e-17  2.02356888e-16
20.800000  5.16127298e-02  5.16127298e-02  5.16127298e-02  3.36103803e-16  0.00000000e+00
20.900000  5.14053792e-02  5.14053792e-02  5.14053792e-02  0.00000000e+00  0.00000000e+00
21.000000  5.08174736e-02  5.08174736e-02  5.08174736e-02  0.00000000e+00  1.36545432e-16
21.100000  4.98557700e-02  4.98557700e-02  4.98557700e-02  0.00000000e+00  2.08769032e-16
21.200000  4.85297722e-02  4.85297722e-02  4.85297722e-02  2.14473309e-16  1.42982206e-16
21.300000  4.68516600e-02  4.68516600e-02  4.68516600e-02  1.48103480e-16  4.44310441e-16
21.400000  4.48361981e-02  4.48361981e-02  4.48361981e-02  7.73804894e-17  2.32141468e-16
21.500000  4.25006250e-02  4.25006250e-02  4.25006250e-02  8.16328455e-17  5.71429918e-16
21.600000  3.98645221e-02  3.98645221e-02  3.98645221e-02  1.74061886e-16  8.70309431e-17
21.700000  3.69496651e-02  3.69496651e-02  3.69496651e-02  1.87793147e-16  6.57276016e-16
21.800000  3.37798579e-02  3.37798579e-02  3.37798579e-02  5.13537825e-16  1.02707565e-16
21.900000  3.03807505e-02  3.03807505e-02  3.03807505e-02  1.14198856e-15  6.28093708e-16
22.000000  2.67796419e-02  2.67796419e-02  2.67796419e-02  1.04292089e-14  1.94333085e-16
22.100000  2.30052708e-02  2.30052708e-02  2.30052708e-02  4.52432876e-16  3.01621917e-16
22.200000  1.90875936e-02  1.90875936e-02  1.90875936e-02  2.72646754e-16  5.45293507e-16
22.300000  1.50575532e-02  1.50575532e-02  1.50575532e-02  2.59213949e-15  3.45618599e-16
22.400000  1.09468396e-02  1.09468396e-02  1.09468396e-02  5.54637903e-16  1.10927581e-15
22.500000  6.78764464e-03  6.78764464e-03  6.78764464e-03  3.32241984e-15  1.15006840e-15
22.600000  2.61241170e-03  2.61241170e-03  2.61241170e-03  8.30039286e-16  3.32015714e-16
22.700000 -1.54641608e-03 -1.54641608e-03 -1.54641608e-03  2.73431486e-15  1.65461104e-14
22.800000 -5.65664831e-03 -5.65664831e-03 -5.65664831e-03  4.60004771e-16  1.30334685e-15
22.900000 -9.68659791e-03 -9.68659791e-03 -9.68659791e-03  1.70130661e-15  1.34313680e-15
23.000000 -1.36053280e-02 -1.36053280e-02 -1.36053280e-02  1.27503245e-16  0.00000000e+00
23.100000 -1.73828931e-02 -1.73828931e-02 -1.73828931e-02  2.99384595e-16  3.99179460e-16
23.200000 -2.09905726e-02 -2.09905726e-02 -2.09905726e-02  1.65285961e-16  4.13214901e-16
23.300000 -2.44010944e-02 -2.44010944e-02 -2.44010944e-02  7.10920359e-17  4.26552215e-16
23.400000 -2.75888476e-02 -2.75888476e-02 -2.75888476e-02  6.28777070e-17  5.03021656e-16
23.500000 -3.05300818e-02 -3.05300818e-02 -3.05300818e-02  2.27280554e-16  5.68201385e-16
23.600000 -3.32030916e-02 -3.32030916e-02 -3.32030916e-02  4.17966736e-16  4.17966736e-16
23.700000 -3.55883846e-02 -3.55883846e-02 -3.55883846e-02  0.00000000e+00  2.92464549e-16
23.800000 -3.76688321e-02 -3.76688321e-02 -3.76688321e-02  1.84207832e-16  3.68415664e-16
23.900000 -3.94298009e-02 -3.94298009e-02 -3.94298009e-02  2.63971428e-16  0.00000000e+00
24.000000 -4.08592640e-02 -4.08592640e-02 -4.08592640e-02  8.49121255e-17  2.54736377e-16
24.100000 -4.19478920e-02 -4.19478920e-02 -4.19478920e-02  8.27084936e-17  0.00000000e+00
24.200000 -4.26891211e-02 -4.26891211e-02 -4.26891211e-02  0.00000000e+00  5.68906739e-16
24.300000 -4.30792000e-02 -4.30792000e-02 -4.30792000e-02  8.05364759e-17  3.22145904e-16
24.400000 -4.31172130e-02 -4.31172130e-02 -4.31172130e-02  8.04654733e-17  3.21861893e-16
24.500000 -4.28050809e-02 -4.28050809e-02 -4.28050809e-02  8.10522228e-17  1.62104446e-16
24.600000 -4.21475385e-02 -4.21475385e-02 -4.21475385e-02  1.64633432e-16  4.93900296e-16
24.700000 -4.11520891e-02 -4.11520891e-02 -4.11520891e-02  9.27387098e-16  1.68615836e-16
24.800000 -3.98289370e-02 -3.98289370e-02 -3.98289370e-02  3.48434803e-16  3.48434803e-16
24.900000 -3.81908974e-02 -3.81908974e-02 -3.81908974e-02  9.08448658e-17  3.63379463e-16
25.000000 -3.62532856e-02 -3.62532856e-02 -3.62532856e-02  9.57002074e-17  2.87100622e-16
25.100000 -3.40337853e-02 -3.40337853e-02 -3.40337853e-02  1.19271274e-14  3.05823780e-16
25.200000 -3.15522980e-02 -3.15522980e-02 -3.15522980e-02  9.78631662e-15  2.19917228e-16
25.300000 -2.88307745e-02 -2.88307745e-02 -2.88307745e-02  2.28642807e-15  5.41522437e-16
25.400000 -2.58930292e-02 -2.58930292e-02 -2.58930292e-02  2.00987316e-16  5.35966175e-16
25.500000 -2.27645393e-02 -2.27645393e-02 -2.27645393e-02  0.00000000e+00  8.38231688e-16
25.600000 -1.94722316e-02 -1.94722316e-02 -1.94722316e-02  1.06904448e-15  8.90870399e-16
25.700000 -1.60442560e-02 -1.60442560e-02 -1.60442560e-02  9.73090388e-16  7.56848080e-16
25.800000 -1.25097502e-02 -1.25097502e-02 -1.25097502e-02  6.93348569e-16  0.00000000e+00
25.900000 -8.89859643e-03 -8.89859643e-03 -8.89859643e-03  2.92415240e-16  0.00000000e+00
26.000000 -5.24117226e-03 -5.24117226e-03 -5.24117226e-03  1.90313531e-15  4.38548571e-15
26.100000 -1.56809741e-03 -1.56809741e-03 -1.56809741e-03  1.05786115e-14  5.04731136e-15
26.200000  2.09002068e-03  2.09002068e-03  2.09002068e-03  3.00876095e-15  1.00637866e-14
26.300000  5.70284095e-03  5.70284095e-03  5.70284095e-03  2.96581196e-15  3.34604426e-15
26.400000  9.24054021e-03  9.24054021e-03  9.24054021e-03  2.81594491e-16  1.87729660e-15
26.500000  1.26740598e-02  1.26740598e-02  1.26740598e-02  1.36871965e-16  1.23184769e-15
26.600000  1.59753455e-02  1.59753455e-02  1.59753455e-02  0.00000000e+00  5.42937701e-16
26.700000  1.91175786e-02  1.91175786e-02  1.91175786e-02  5.44438240e-16  1.08887648e-15
26.800000  2.20753961e-02  2.20753961e-02  2.20753961e-02  3.14327039e-16  3.14327039e-16
26.900000  2.48250984e-02  2.48250984e-02  2.48250984e-02  2.79511235e-16  1.39755617e-16
27.000000  2.73448425e-02  2.73448425e-02  2.73448425e-02  2.53755124e-16  1.90316343e-16
27.100000  2.96148195e-02  2.96148195e-02  2.96148195e-02  0.00000000e+00  1.17152392e-16
27.200000  3.16174140e-02  3.16174140e-02  3.16174140e-02  0.00000000e+00  4.38928618e-16
